25
BnB;SwO;Abweichung
41114,6611;14,6941;0
4208,2453;21,5821;0
8201,0233;19,0261;2
4131,0323;15,2259;2
5107,7544;11,5815;2
3628,401;14,5495;0
24750,7525;14,8578;3
23791,8199;12,4226;4
7159,4092;18,1295;0
11752,3238;11,5423;4
3895,1994;12,0835;2
32223,788;15,1009;2
43139,1356;11,9328;0
34428,7497;16,1505;4
19949,0524;11,9571;1
38433,9914;18,6557;2
7961,212;15,7997;6
2867,1113;15,3677;3
32761,2462;11,8736;2
1000
BnB;SwO;Abweichung
4612,5093;21,1818;1
47800,5814;20,5861;0
19174,6118;12,7786;1
43523,7278;21,1133;2
3023,4062;17,0644;1
16687,032;21,2369;0
22016,6614;17,4264;4
19776,2058;21,9539;3
9419,6816;16,8531;4
23320,4186;17,4306;1
8054,1417;13,4326;0
16491,2979;20,9295;3
9377,7177;21,0675;4
2646,9825;12,4245;2
2850,491;16,1967;0
6794,9833;12,9867;1
8189,4739;12,8784;4
39949,7293;16,9912;1
14287,0482;16,9291;3
10641,8178;16,7966;4
1250
BnB;SwO;Abweichung
12352,3083;26,298;2
20738,6961;16,1692;3
24458,0381;20,9033;3
25117,7289;20,9127;4
4097,2197;25,5717;2
43718,0656;25,901;2
85789,6548;21,7748;0
3979,0462;21,2089;4
13830,0527;26,5028;2
49065,4933;30,8391;3
94420,3767;21,7043;3
24185,948;26,4081;1
16140,0336;16,7299;4
14769,4498;21,2863;4
22088,0892;26,292;1
6627,0705;21,5359;3
3309,7682;21,744;3
29101,6151;16,4388;1
11755,5618;21,5299;3
7599,2087;21,6693;2
1500
BnB;SwO;Abweichung
38855,0786;19,5859;3
4179,1692;19,9293;1
23795,3924;27,1261;4
21931,1944;20,239;5
25014,5317;32,2045;1
31436,8562;26,1651;2
38608,376;20,0221;6
28961,7237;25,763;3
18454,7133;31,202;4
157638,2985;32,1737;0
26605,709;38,383;2
7069,7768;26,8401;4
26318,5297;25,3286;2
9634,2795;21,4188;6
4496,2326;20,4163;4
22836,7798;26,8005;4
12483,3906;26,5364;7
17062,0854;31,6862;0
13191,2387;20,949;2
42927,473;20,1644;1
